state,industry,recent_3yr,count_2023,count_2025,growth_2023_2025_pct,lq,scale_pct,momentum_pct,specialisation_pct,hotspot_score
Karnataka,AI,669,96,396,103.1,1.94,95.5,97.75,97.11,96.78666666666666
Telangana,AI,350,43,220,126.19,1.61,87.14,99.36,92.6,93.03333333333333
Telangana,IT Services,1053,253,518,43.09,1.46,98.23,85.05,89.23,90.83666666666667
Andhra Pradesh,IT Services,357,78,198,59.33,1.33,87.94,92.36,83.76,88.02
Rajasthan,Renewable Energy,228,49,120,56.49,1.55,78.22,91.32,91.64,87.06
Gujarat,Professional & Commercial Services,769,190,332,32.19,1.37,96.95,75.08,86.66,86.22999999999999
Gujarat,Renewable Energy,550,145,251,31.57,1.51,93.25,74.44,91.0,86.22999999999999
Andhra Pradesh,Agriculture,222,50,115,51.66,1.43,77.09,89.71,88.1,84.96666666666665
Telangana,Aeronautics Aerospace & Defence,154,32,75,53.09,1.94,66.56,90.19,97.27,84.67333333333333
Tamil Nadu,AI,320,44,186,105.6,1.15,85.53,98.07,69.29,84.29666666666667
Haryana,AI,232,33,153,115.32,1.2,78.62,98.71,74.92,84.08333333333333
Gujarat,Other Specialty Retailers,187,33,102,75.81,1.31,72.59,95.5,81.99,83.36
Bihar,Construction,592,166,243,20.99,2.87,94.21,55.31,99.52,83.01333333333332
Telangana,Healthcare & Lifesciences,715,180,346,38.64,1.16,96.46,81.99,70.42,82.95666666666666
Andhra Pradesh,AI,117,7,86,250.51,1.44,58.76,100.0,88.42,82.39333333333333
Jammu and Kashmir,Construction,268,71,110,24.47,4.23,82.32,62.54,99.84,81.56666666666666
Madhya Pradesh,Renewable Energy,186,41,83,42.28,1.39,72.35,84.73,87.14,81.40666666666667
Uttar Pradesh,Construction,1118,298,452,23.16,1.36,98.87,59.49,85.69,81.35
Karnataka,Real Estate,180,40,90,50.0,1.3,71.7,88.5,81.35,80.51666666666667
Karnataka,IT Services,1476,408,621,23.37,1.29,99.68,60.45,80.39,80.17333333333333
Andhra Pradesh,Construction,212,54,116,46.57,1.23,75.88,86.66,77.49,80.00999999999999
Madhya Pradesh,Construction,353,94,162,31.28,1.24,87.54,73.95,77.81,79.76666666666667
Uttar Pradesh,Education,690,190,318,29.37,1.15,96.22,71.54,69.45,79.07
Gujarat,Waste Management,179,44,87,40.62,1.32,71.38,82.64,82.64,78.88666666666666
Gujarat,Textiles & Apparel,412,114,163,19.58,1.69,91.0,51.29,94.05,78.77999999999999
Andhra Pradesh,Education,158,39,87,49.36,1.26,68.09,88.02,79.1,78.40333333333332
Kerala,AI,154,20,90,112.13,1.15,66.56,98.31,68.97,77.94666666666666
Bihar,Education,204,54,93,31.23,1.35,75.0,73.79,84.73,77.84
Bihar,Food & Beverages,222,60,111,36.01,1.22,77.09,79.9,76.05,77.67999999999999
Bihar,Human Resources,123,28,50,33.63,1.73,60.21,77.89,94.69,77.59666666666666
Karnataka,Aeronautics Aerospace & Defence,210,60,93,24.5,1.66,75.64,62.78,93.57,77.33
Haryana,Textiles & Apparel,168,43,79,35.54,1.31,69.77,79.26,81.83,76.95333333333332
Telangana,Enterprise Software,167,49,77,25.36,1.7,69.29,65.76,94.21,76.41999999999999
Gujarat,Fashion,366,104,145,18.08,1.51,88.91,47.59,90.84,75.78
Kerala,Travel & Tourism,144,38,60,25.66,1.87,64.79,66.08,96.46,75.77666666666667
Bihar,Agriculture,245,72,112,24.72,1.32,80.23,63.99,82.96,75.72666666666666
Uttar Pradesh,Real Estate,189,49,87,33.25,1.22,72.91,76.53,75.88,75.10666666666665
Maharashtra,Logistics,196,54,92,30.53,1.25,73.31,72.99,78.62,74.97333333333333
Telangana,Education,383,110,175,26.13,1.14,89.55,67.2,67.85,74.86666666666666
Tamil Nadu,Biotechnology,92,23,42,35.13,1.86,49.68,78.62,96.3,74.86666666666666
Maharashtra,Renewable Energy,658,177,301,30.41,1.05,95.34,72.83,55.95,74.70666666666666
Tamil Nadu,Internet of Things,99,26,46,33.01,1.79,52.17,76.13,95.66,74.65333333333334
Karnataka,Education,603,160,248,24.5,1.13,94.61,62.78,66.4,74.59666666666666
Rajasthan,Social Impact,58,11,35,78.38,1.86,31.11,96.46,96.14,74.57
Madhya Pradesh,Agriculture,357,105,147,18.32,1.39,87.94,48.55,86.98,74.49
Kerala,Education,367,116,151,14.09,1.77,89.07,38.26,95.5,74.27666666666666
Haryana,Retail,155,40,69,31.34,1.28,67.12,74.12,80.23,73.82333333333332
Uttar Pradesh,Human Resources,460,138,176,12.93,1.62,92.12,34.89,92.77,73.25999999999999
Maharashtra,Food & Beverages,1284,373,566,23.18,1.09,99.2,59.65,60.29,73.04666666666665
West Bengal,Travel & Tourism,102,28,50,33.63,1.42,53.46,77.89,87.78,73.04333333333332
Uttar Pradesh,Renewable Energy,384,94,179,37.99,1.0,89.71,81.51,47.59,72.93666666666667
Madhya Pradesh,Security Solutions,77,19,36,37.65,1.72,43.17,81.19,94.37,72.91
Gujarat,Agriculture,805,229,328,19.68,1.15,97.27,51.45,69.61,72.77666666666667
Uttar Pradesh,Food & Beverages,687,174,325,36.67,0.95,95.98,80.55,41.64,72.72333333333333
Gujarat,Chemicals,321,95,118,11.45,2.36,85.69,32.64,98.87,72.39999999999999
Maharashtra,AI,532,68,325,118.62,0.84,93.09,98.87,25.08,72.34666666666666
Tamil Nadu,Enterprise Software,171,47,72,23.77,1.36,70.66,60.77,85.37,72.26666666666667
Delhi,Events,95,24,39,27.48,1.92,50.72,68.97,96.95,72.21333333333332
Karnataka,Robotics,63,9,31,85.59,1.35,34.41,96.95,84.57,71.97666666666666
Uttar Pradesh,AI,338,45,220,121.11,0.87,86.33,99.04,30.39,71.92
Kerala,Advertising,62,17,34,41.42,1.94,33.44,83.68,97.43,71.51666666666667
Telangana,Media & Entertainment,107,24,51,45.77,1.18,55.71,86.01,72.35,71.35666666666667
Chhattisgarh,Food & Beverages,91,11,45,102.26,1.14,49.12,97.59,67.36,71.35666666666667
Uttar Pradesh,Other Specialty Retailers,169,39,72,35.87,1.12,70.18,79.58,64.15,71.30333333333334
Karnataka,Finance Technology,388,116,157,16.34,1.29,90.19,42.77,80.71,71.22333333333333
Haryana,Other Specialty Retailers,91,18,41,50.92,1.21,49.12,89.07,75.24,71.14333333333333
Maharashtra,Social Impact,142,32,76,54.11,1.07,64.15,90.35,58.36,70.95333333333333
Karnataka,Sports,73,16,36,50.0,1.32,41.32,88.5,82.8,70.87333333333333
Uttarakhand,Travel & Tourism,42,6,27,112.13,2.32,15.43,98.31,98.71,70.81666666666666
Delhi,AI,281,53,166,76.98,0.89,83.04,96.14,33.12,70.76666666666667
Delhi,Security Solutions,222,67,87,13.95,2.1,77.09,37.14,98.07,70.76666666666667
Maharashtra,Real Estate,269,74,124,29.45,1.06,82.48,71.86,57.4,70.58
Gujarat,Green Technology,236,62,99,26.36,1.12,78.94,67.52,65.11,70.52333333333333
Delhi,Other Specialty Retailers,149,39,65,29.1,1.21,65.59,70.74,75.08,70.47
Maharashtra,Other Specialty Retailers,238,48,107,49.3,0.97,79.18,87.78,44.21,70.39
Chhattisgarh,Construction,124,29,45,24.57,1.37,60.61,63.26,86.5,70.12333333333333
Delhi,Travel & Tourism,243,74,102,17.4,1.34,79.9,45.66,83.92,69.82666666666667
Uttar Pradesh,IT Services,1292,371,564,23.3,1.01,99.36,59.97,49.52,69.61666666666667
Andhra Pradesh,Food & Beverages,151,27,78,69.97,0.99,65.92,95.34,47.43,69.56333333333333
Karnataka,Technology Hardware,395,112,164,21.01,1.1,90.51,55.47,62.54,69.50666666666666
Maharashtra,Sports,128,34,54,26.03,1.26,61.25,66.96,79.74,69.31666666666666
Haryana,Healthcare & Lifesciences,574,163,244,22.35,1.05,93.57,58.04,56.27,69.29333333333332
Himachal Pradesh,Construction,66,17,29,30.61,1.99,36.82,73.15,97.59,69.18666666666667
Haryana,Food & Beverages,339,87,162,36.46,0.94,86.5,80.39,40.35,69.08
Karnataka,Enterprise Software,258,78,96,10.94,1.66,81.27,31.91,93.41,68.86333333333332
Karnataka,Architecture Interior Design,112,28,43,23.92,1.39,57.56,61.41,87.3,68.75666666666666
Telangana,Retail,137,27,72,63.3,1.0,63.26,93.73,49.04,68.67666666666666
Gujarat,Transportation & Storage,160,38,61,26.7,1.14,68.49,68.49,68.81,68.59666666666666
Kerala,IT Services,584,191,227,9.02,1.31,93.89,29.42,82.32,68.54333333333332
Uttar Pradesh,Waste Management,146,31,71,51.34,1.01,65.43,89.39,50.8,68.53999999999999
Uttar Pradesh,Professional & Commercial Services,690,209,272,14.08,1.16,96.22,38.1,70.9,68.40666666666667
Kerala,Robotics,40,9,23,59.86,2.2,13.67,92.93,98.23,68.27666666666667
Delhi,Social Impact,78,17,39,51.46,1.17,43.81,89.55,71.38,68.24666666666667
Delhi,Professional & Commercial Services,596,172,213,11.28,1.23,94.37,32.48,77.33,68.06
Maharashtra,Finance Technology,679,208,252,10.07,1.24,95.82,30.39,77.97,68.05999999999999
West Bengal,Finance Technology,143,42,62,21.5,1.32,64.39,56.59,83.12,68.03333333333333
Delhi,Food & Beverages,564,156,250,26.59,0.95,93.41,68.33,42.28,68.00666666666666
Andhra Pradesh,Healthcare & Lifesciences,214,51,115,50.16,0.93,76.21,88.75,38.91,67.95666666666666
Bihar,Security Solutions,53,11,22,41.42,1.63,27.01,83.68,93.09,67.92666666666668
Maharashtra,Healthcare & Lifesciences,1910,575,791,17.29,1.07,100.0,45.5,58.2,67.89999999999999
Karnataka,Internet of Things,92,23,38,28.54,1.34,49.68,69.77,84.24,67.89666666666666
Jharkhand,Construction,134,40,55,17.26,1.73,63.02,45.1,95.02,67.71333333333334
Odisha,Real Estate,40,6,22,91.49,1.56,13.67,97.43,91.8,67.63333333333333
Karnataka,Food & Beverages,631,186,288,24.43,0.97,95.18,62.38,45.34,67.63333333333333
Maharashtra,Toys and Games,106,29,45,24.57,1.33,55.39,63.26,83.6,67.41666666666666
Jammu and Kashmir,Travel & Tourism,45,11,22,41.42,2.62,18.89,83.68,99.36,67.31
Delhi,Sports,61,12,34,68.33,1.2,32.72,95.02,73.95,67.22999999999999
Gujarat,Technology Hardware,603,205,203,-0.49,1.59,94.61,14.47,92.44,67.17333333333333
Tamil Nadu,Education,426,118,183,24.53,0.99,91.32,63.02,47.11,67.15
Delhi,Retail,258,75,98,14.31,1.3,81.27,38.75,81.19,67.07
Gujarat,Construction,755,205,306,22.18,0.97,96.78,57.72,45.5,66.66666666666667
Tamil Nadu,Waste Management,120,31,51,28.26,1.16,59.89,69.61,69.94,66.47999999999999
Assam,Construction,206,69,78,6.32,2.45,75.24,24.84,99.04,66.37333333333333
Uttar Pradesh,Fashion,247,61,106,31.82,0.96,80.55,74.92,43.41,66.29333333333332
Maharashtra,Media & Entertainment,359,116,130,5.86,1.36,88.59,24.28,85.85,66.24
Telangana,Food & Beverages,358,97,173,33.55,0.88,88.34,77.65,32.32,66.10333333333332
Rajasthan,Finance Technology,168,56,78,18.02,1.3,69.77,47.03,81.51,66.10333333333332
Himachal Pradesh,Travel & Tourism,33,6,16,63.3,3.67,4.82,93.73,99.68,66.07666666666667
Delhi,Human Resources,386,146,144,-0.69,1.67,89.87,14.31,93.89,66.02333333333334
Rajasthan,Textiles & Apparel,119,36,56,24.72,1.2,59.57,63.99,74.44,66.0
Andhra Pradesh,Aeronautics Aerospace & Defence,43,10,25,58.11,1.45,16.8,91.8,88.91,65.83666666666666
Rajasthan,Waste Management,63,12,33,65.83,1.14,34.41,94.61,68.01,65.67666666666666
Kerala,Healthcare & Lifesciences,379,110,167,23.21,1.0,89.39,59.81,47.75,65.65
Delhi,Architecture Interior Design,80,15,38,59.16,1.09,44.53,92.12,60.13,65.59333333333333
Maharashtra,Agriculture,1440,479,524,4.59,1.2,99.52,22.99,73.79,65.43333333333334
Uttar Pradesh,Healthcare & Lifesciences,1067,324,466,19.93,0.97,98.39,52.73,44.86,65.32666666666667
Kerala,Food & Beverages,262,75,113,22.75,1.04,81.67,59.16,54.82,65.21666666666667
Delhi,Textiles & Apparel,239,74,104,18.55,1.13,79.5,49.28,66.72,65.16666666666666
Gujarat,Healthcare & Lifesciences,1090,331,437,14.9,1.05,98.55,40.35,56.43,65.11
Maharashtra,Automotive,483,145,184,12.65,1.14,92.77,34.24,68.17,65.06
