industry,count_2019,count_2023,count_2025,share_2019_pct,share_2025_pct,share_change_pp,cagr_2019_2025_pct,cagr_2023_2025_pct,taxonomy_flag
IT Services,1706,3719,5372,14.35,10.87,-3.49,21.07,20.19,
Healthcare & Lifesciences,1051,3259,4495,8.84,9.09,0.25,27.41,17.44,
Construction,360,2321,3273,3.03,6.62,3.59,44.47,18.75,
Food & Beverages,546,2064,3136,4.59,6.34,1.75,33.82,23.26,
Agriculture,535,2265,2855,4.5,5.78,1.27,32.19,12.27,
Education,814,1784,2462,6.85,4.98,-1.87,20.26,17.48,
AI,357,519,2360,3.0,4.77,1.77,37.0,113.24,
Professional & Commercial Services,506,1737,2220,4.26,4.49,0.23,27.95,13.05,
Renewable Energy,326,1017,1687,2.74,3.41,0.67,31.52,28.79,
Technology Hardware,360,1209,1560,3.03,3.16,0.13,27.68,13.59,
Finance Technology,449,991,1295,3.78,2.62,-1.16,19.31,14.31,
Human Resources,220,876,1082,1.85,2.19,0.34,30.41,11.14,
Textiles & Apparel,131,703,1076,1.1,2.18,1.07,42.04,23.72,
Retail,291,702,1046,2.45,2.12,-0.33,23.77,22.07,
Fashion,132,746,995,1.11,2.01,0.9,40.03,15.49,
Travel & Tourism,269,580,978,2.26,1.98,-0.28,24.0,29.85,
Automotive,186,880,930,1.56,1.88,0.32,30.77,2.8,
Green Technology,404,682,888,3.4,1.8,-1.6,14.03,14.11,
Enterprise Software,336,506,732,2.83,1.48,-1.35,13.86,20.28,
Marketing,270,616,689,2.27,1.39,-0.88,16.9,5.76,
Real Estate,125,399,679,1.05,1.37,0.32,32.58,30.45,
Other Specialty Retailers,78,341,672,0.66,1.36,0.7,43.18,40.38,
Waste Management,1,384,627,0.01,1.27,1.26,,27.78,
Media & Entertainment,229,502,624,1.93,1.26,-0.66,18.18,11.49,
Aeronautics Aerospace & Defence,98,424,587,0.82,1.19,0.36,34.76,17.66,
Transportation & Storage,258,423,551,2.17,1.11,-1.06,13.48,14.13,
Security Solutions,110,363,532,0.93,1.08,0.15,30.04,21.06,
Chemicals,62,460,513,0.52,1.04,0.52,42.22,5.6,
Logistics,0,254,431,0.0,0.87,0.87,,30.26,
Social Impact,88,208,407,0.74,0.82,0.08,29.08,39.88,
House-Hold Services,93,279,406,0.78,0.82,0.04,27.84,20.63,
Advertising,115,288,365,0.97,0.74,-0.23,21.23,12.58,
Architecture Interior Design,72,243,358,0.61,0.72,0.12,30.64,21.38,
Internet of Things,299,231,320,2.52,0.65,-1.87,1.14,17.7,
Biotechnology,1,168,319,0.01,0.65,0.64,,37.8,
Telecommunication & Networking,105,309,305,0.88,0.62,-0.27,19.45,-0.65,
Sports,66,171,273,0.56,0.55,-0.0,26.7,26.35,
Events,61,147,260,0.51,0.53,0.01,27.33,32.99,
Robotics,97,127,246,0.82,0.5,-0.32,16.78,39.18,
Design,98,186,228,0.82,0.46,-0.36,15.11,10.72,
Analytics,118,152,191,0.99,0.39,-0.61,8.36,12.1,
Toys and Games,0,152,177,0.0,0.36,0.36,,7.91,
Non-Renewable Energy,36,323,171,0.3,0.35,0.04,29.65,-27.24,
Social Network,127,139,155,1.07,0.31,-0.75,3.38,5.6,
Pets & Animals,30,107,152,0.25,0.31,0.06,31.06,19.19,
Art & Photography,39,126,152,0.33,0.31,-0.02,25.45,9.83,
AR VR (Augmented + Virtual Reality),95,124,131,0.8,0.27,-0.53,5.5,2.78,
Indic Language Startups,0,136,121,0.0,0.24,0.24,,-5.68,
Safety,38,95,117,0.32,0.24,-0.08,20.61,10.98,
Computer Vision,44,49,63,0.37,0.13,-0.24,6.16,13.39,
Animation,13,42,54,0.11,0.11,-0.0,,13.39,
Nanotechnology,25,33,50,0.21,0.1,-0.11,,23.09,
Dating Matrimonial,14,23,33,0.12,0.07,-0.05,,,
Airport Operations,0,8,14,0.0,0.03,0.03,,,
Passenger Experience,0,9,14,0.0,0.03,0.03,,,
Others,1,240,1,0.01,0.0,-0.01,,-93.55,reclassified in 2024 - not a real trend
