state,industry,lq,count
Goa,Travel & Tourism,4.77403436404593,36
Jammu and Kashmir,Construction,4.229296022850541,268
Himachal Pradesh,Travel & Tourism,3.667756250656188,33
Bihar,Construction,2.8714774118670285,592
Jammu and Kashmir,Travel & Tourism,2.6216166150574454,45
Himachal Pradesh,Agriculture,2.4716962953614265,74
Assam,Construction,2.4486782321354807,206
Gujarat,Chemicals,2.3558380696413694,321
Uttarakhand,Travel & Tourism,2.322130544387274,42
Madhya Pradesh,Human Resources,2.2583373551347146,222
Rajasthan,Art & Photography,2.212161982867994,36
Kerala,Robotics,2.203093789194964,40
Delhi,Security Solutions,2.1010202165912832,222
Haryana,Pets & Animals,2.0352565325195497,36
Goa,Food & Beverages,2.0303262050015567,50
Himachal Pradesh,Construction,1.9870421719787923,66
Kerala,Advertising,1.9410812552151,62
Telangana,Aeronautics Aerospace & Defence,1.9387203730529592,154
Karnataka,AI,1.9368214439284956,669
Delhi,Events,1.915638877366492,95
Assam,Travel & Tourism,1.886932361571282,43
Chhattisgarh,Agriculture,1.875093804073009,153
Kerala,Travel & Tourism,1.8684976601863972,144
Tamil Nadu,Biotechnology,1.863250359779819,92
Rajasthan,Social Impact,1.857566331139223,58
Rajasthan,Non-Renewable Energy,1.8532221196865912,50
Tamil Nadu,Robotics,1.8315931934728802,69
Tamil Nadu,Internet of Things,1.7901959007977686,99
Kerala,Education,1.7655857429901385,367
Uttarakhand,Retail,1.7640316131604743,35
Chandigarh,Healthcare & Lifesciences,1.7595441570221857,57
Jharkhand,Construction,1.7345703071690985,134
Karnataka,Pets & Animals,1.7333373204151883,55
Bihar,Human Resources,1.7287697084970954,123
Tamil Nadu,AR VR (Augmented + Virtual Reality),1.7276016385321125,46
Madhya Pradesh,Security Solutions,1.7150021039501664,77
Telangana,Enterprise Software,1.7036726997109573,167
Gujarat,Textiles & Apparel,1.6877528755742996,412
Delhi,Human Resources,1.668501007948934,386
Kerala,Enterprise Software,1.666578293266086,101
Karnataka,Aeronautics Aerospace & Defence,1.6628635782877548,210
Karnataka,Enterprise Software,1.655511767237733,258
Karnataka,Analytics,1.6438286388386725,69
Bihar,Security Solutions,1.6309700671288654,53
Rajasthan,Fashion,1.6237476778415583,160
Uttar Pradesh,Human Resources,1.6235654980684777,460
Telangana,AI,1.6109743973173298,350
Gujarat,Technology Hardware,1.589312849727567,603
Gujarat,Non-Renewable Energy,1.5790097511992562,105
Karnataka,Social Network,1.575761200377444,59
Assam,Agriculture,1.5693206864365077,119
Odisha,Real Estate,1.5630741931263097,40
Rajasthan,Renewable Energy,1.545613659535287,228
Telangana,Biotechnology,1.5328293535363493,59
Delhi,Telecommunication & Networking,1.522241649369517,109
Haryana,House-Hold Services,1.5220935606449626,73
Gujarat,Renewable Energy,1.512748851109343,550
Gujarat,Fashion,1.5070153911485278,366
Jharkhand,Human Resources,1.5003598573225037,40
Gujarat,Safety,1.498977750111075,42
Punjab,Travel & Tourism,1.4949081692362902,39
Telangana,AR VR (Augmented + Virtual Reality),1.493502245425038,31
Karnataka,Toys and Games,1.484412724993244,65
Madhya Pradesh,Telecommunication & Networking,1.4789935883042689,45
Punjab,Automotive,1.4763580166633923,45
Kerala,Biotechnology,1.470769094453305,35
Kerala,Internet of Things,1.4632651705020125,39
Telangana,IT Services,1.4628889473476567,1053
Maharashtra,Design,1.4552611871537402,144
Andhra Pradesh,Aeronautics Aerospace & Defence,1.4500550636360432,43
Punjab,Textiles & Apparel,1.4492243927372936,44
Telangana,Social Network,1.4436916183222892,34
Andhra Pradesh,AI,1.4425405867451988,117
Karnataka,Biotechnology,1.4380279991592673,88
Andhra Pradesh,Agriculture,1.4336621935059937,222
Haryana,Automotive,1.4332948368641876,185
West Bengal,Travel & Tourism,1.424018058052825,102
Tamil Nadu,Logistics,1.4047107280142739,97
Tamil Nadu,Automotive,1.3970333497932044,261
Karnataka,Architecture Interior Design,1.3927810384395896,112
Madhya Pradesh,Renewable Energy,1.3907510043693734,186
Madhya Pradesh,Agriculture,1.3904518770147123,357
Tamil Nadu,Analytics,1.3877269617807952,47
Gujarat,Professional & Commercial Services,1.374868089078179,769
Chhattisgarh,Construction,1.3697869208336826,124
Delhi,Advertising,1.3685901034988146,103
Karnataka,Others,1.367396082972162,30
Telangana,Analytics,1.363537478161339,36
Maharashtra,Media & Entertainment,1.3627965442688235,359
Uttar Pradesh,Construction,1.3617752927511861,1118
Delhi,Safety,1.3604903216653663,33
Tamil Nadu,Enterprise Software,1.3599013125527075,171
Haryana,Sports,1.3579462158695255,42
Maharashtra,Chemicals,1.3576317223387218,319
West Bengal,Textiles & Apparel,1.355585201104069,113
Bihar,Education,1.3543469214150143,204
Karnataka,Robotics,1.349341144400879,63
Tamil Nadu,Aeronautics Aerospace & Defence,1.3444870081825178,137
Karnataka,Internet of Things,1.3423150966178223,92
Uttar Pradesh,Art & Photography,1.3404041241464555,57
Delhi,Travel & Tourism,1.3381983318651436,243
Andhra Pradesh,IT Services,1.328534353498814,357
Maharashtra,Toys and Games,1.32628962691657,106
Delhi,Fashion,1.3222604833579703,278
West Bengal,Transportation & Storage,1.3196126806284665,63
West Bengal,Finance Technology,1.319277084996553,143
Bihar,Agriculture,1.3184085777725776,245
Karnataka,Sports,1.3157091068511009,73
Gujarat,Waste Management,1.3155445134462633,179
Jammu and Kashmir,Agriculture,1.3130908992107906,75
Kerala,IT Services,1.3122920225744228,584
Kerala,Architecture Interior Design,1.3111140180059662,41
Gujarat,Other Specialty Retailers,1.3105674747344467,187
Haryana,Textiles & Apparel,1.3067029624404867,168
Delhi,House-Hold Services,1.306578117776529,103
Rajasthan,Finance Technology,1.3044711732913645,168
Karnataka,Real Estate,1.300235175164099,180
Delhi,Retail,1.295194213270933,258
Telangana,Robotics,1.293963235748144,38
West Bengal,Social Impact,1.2938085930604635,34
Karnataka,Finance Technology,1.2937628235263414,388
West Bengal,Fashion,1.290200230144916,107
Karnataka,IT Services,1.2897698425334507,1476
Haryana,Retail,1.2789902104668889,155
Uttar Pradesh,Telecommunication & Networking,1.2771677346855632,112
Karnataka,AR VR (Augmented + Virtual Reality),1.2727302003048584,42
Maharashtra,Sports,1.2639741320521958,128
Delhi,Media & Entertainment,1.2628093125797533,167
Delhi,Logistics,1.262488900189471,99
West Bengal,Retail,1.2599447415961176,99
Andhra Pradesh,Education,1.2588290807165725,158
Bihar,Real Estate,1.256071250126749,49
Tamil Nadu,Indic Language Startups,1.2558281909676543,35
Maharashtra,Logistics,1.254768811969718,196
Gujarat,Design,1.2547582504513153,72
Tamil Nadu,Green Technology,1.2535529026654582,201
Chhattisgarh,Renewable Energy,1.2469703554214118,53
Maharashtra,Finance Technology,1.2404632770604072,679
Madhya Pradesh,Construction,1.23925937769724,353
Himachal Pradesh,Healthcare & Lifesciences,1.2385632224077652,55
Andhra Pradesh,Construction,1.234040693849577,212
Delhi,Professional & Commercial Services,1.2308824303771997,596
Kerala,Retail,1.2301678831242941,104
Haryana,Waste Management,1.2279795721987568,88
Haryana,Advertising,1.2230508964122877,56
West Bengal,House-Hold Services,1.2220328110739072,38
Uttarakhand,Healthcare & Lifesciences,1.2210481869393723,109
Uttar Pradesh,Others,1.218549203769505,30
Haryana,Real Estate,1.2180735632666302,94
Bihar,Food & Beverages,1.2172304969411116,222
Uttar Pradesh,Real Estate,1.2166339987341108,189
Tamil Nadu,IT Services,1.214032154888415,1121
Gujarat,Automotive,1.2118930752939634,297
Maharashtra,Transportation & Storage,1.2111639568369057,292
Haryana,Other Specialty Retailers,1.2109190869152593,91
Delhi,Other Specialty Retailers,1.2062565041473936,149
Haryana,AI,1.204890860605041,232
Uttar Pradesh,Advertising,1.2042924470808112,111
Gujarat,Indic Language Startups,1.2035286922526616,44
Rajasthan,Textiles & Apparel,1.2014911049071864,119
Madhya Pradesh,Social Impact,1.2010624573572044,34
Maharashtra,Safety,1.2003966660778236,58
Delhi,Sports,1.1998937219995793,61
Maharashtra,Agriculture,1.1963791447868253,1440
Odisha,Agriculture,1.1894695919406857,145
West Bengal,Professional & Commercial Services,1.188494795803082,227
Kerala,Marketing,1.1875775296827928,78
Jharkhand,Renewable Energy,1.1855080147377697,43
Haryana,Architecture Interior Design,1.1823252122710026,53
Haryana,Transportation & Storage,1.1815290439872703,87
Rajasthan,Transportation & Storage,1.1811524535232412,67
