industry,y2019,y2025,share_2019_pct,share_2025_pct,share_change_pp
Construction,360,3273,3.03,6.62,3.59
AI,357,2360,3.0,4.77,1.77
Food & Beverages,546,3136,4.59,6.34,1.75
Agriculture,535,2855,4.5,5.78,1.27
Waste Management,1,627,0.01,1.27,1.26
Textiles & Apparel,131,1076,1.1,2.18,1.07
Fashion,132,995,1.11,2.01,0.9
Logistics,0,431,0.0,0.87,0.87
Other Specialty Retailers,78,672,0.66,1.36,0.7
Renewable Energy,326,1687,2.74,3.41,0.67
Biotechnology,1,319,0.01,0.65,0.64
Chemicals,62,513,0.52,1.04,0.52
Aeronautics Aerospace & Defence,98,587,0.82,1.19,0.36
Toys and Games,0,177,0.0,0.36,0.36
Human Resources,220,1082,1.85,2.19,0.34
Automotive,186,930,1.56,1.88,0.32
Real Estate,125,679,1.05,1.37,0.32
Healthcare & Lifesciences,1051,4495,8.84,9.09,0.25
Indic Language Startups,0,121,0.0,0.24,0.24
Professional & Commercial Services,506,2220,4.26,4.49,0.23
Security Solutions,110,532,0.93,1.08,0.15
Technology Hardware,360,1560,3.03,3.16,0.13
Architecture Interior Design,72,358,0.61,0.72,0.12
Social Impact,88,407,0.74,0.82,0.08
Pets & Animals,30,152,0.25,0.31,0.06
House-Hold Services,93,406,0.78,0.82,0.04
Non-Renewable Energy,36,171,0.3,0.35,0.04
Airport Operations,0,14,0.0,0.03,0.03
Passenger Experience,0,14,0.0,0.03,0.03
Events,61,260,0.51,0.53,0.01
Animation,13,54,0.11,0.11,-0.0
Sports,66,273,0.56,0.55,-0.0
Others,1,1,0.01,0.0,-0.01
Art & Photography,39,152,0.33,0.31,-0.02
Dating Matrimonial,14,33,0.12,0.07,-0.05
Safety,38,117,0.32,0.24,-0.08
Nanotechnology,25,50,0.21,0.1,-0.11
Advertising,115,365,0.97,0.74,-0.23
Computer Vision,44,63,0.37,0.13,-0.24
Telecommunication & Networking,105,305,0.88,0.62,-0.27
Travel & Tourism,269,978,2.26,1.98,-0.28
Robotics,97,246,0.82,0.5,-0.32
Retail,291,1046,2.45,2.12,-0.33
Design,98,228,0.82,0.46,-0.36
AR VR (Augmented + Virtual Reality),95,131,0.8,0.27,-0.53
Analytics,118,191,0.99,0.39,-0.61
Media & Entertainment,229,624,1.93,1.26,-0.66
Social Network,127,155,1.07,0.31,-0.75
Marketing,270,689,2.27,1.39,-0.88
Transportation & Storage,258,551,2.17,1.11,-1.06
Finance Technology,449,1295,3.78,2.62,-1.16
Enterprise Software,336,732,2.83,1.48,-1.35
Green Technology,404,888,3.4,1.8,-1.6
Education,814,2462,6.85,4.98,-1.87
Internet of Things,299,320,2.52,0.65,-1.87
IT Services,1706,5372,14.35,10.87,-3.49
