year,state,total,rank_in_year,share_pct
2017,Maharashtra,1107,1,20.23
2017,Karnataka,889,2,16.24
2017,Delhi,742,3,13.56
2017,Uttar Pradesh,414,4,7.56
2017,Telangana,328,5,5.99
2017,Gujarat,299,6,5.46
2017,Tamil Nadu,272,7,4.97
2017,Haryana,270,8,4.93
2017,West Bengal,181,9,3.31
2017,Kerala,172,10,3.14
2017,Rajasthan,140,11,2.56
2017,Odisha,115,12,2.1
2017,Madhya Pradesh,108,13,1.97
2017,Andhra Pradesh,103,14,1.88
2017,Chhattisgarh,57,15,1.04
2017,Bihar,47,16,0.86
2017,Uttarakhand,45,17,0.82
2017,Assam,35,18,0.64
2017,Jharkhand,35,18,0.64
2017,Punjab,31,20,0.57
2017,Chandigarh,22,21,0.4
2017,Goa,20,22,0.37
2017,Jammu and Kashmir,15,23,0.27
2017,Himachal Pradesh,9,24,0.16
2017,Dadra and Nagar Haveli and Daman and Diu,4,25,0.07
2017,Manipur,4,25,0.07
2017,Nagaland,4,25,0.07
2017,Puducherry,3,28,0.05
2017,Andaman and Nicobar Islands,1,29,0.02
2017,Sikkim,1,29,0.02
2017,Arunachal Pradesh,0,31,0.0
2017,Ladakh,0,31,0.0
2017,Lakshadweep,0,31,0.0
2017,Meghalaya,0,31,0.0
2017,Mizoram,0,31,0.0
2017,Tripura,0,31,0.0
2018,Maharashtra,1662,1,18.51
2018,Karnataka,1213,2,13.51
2018,Delhi,1189,3,13.24
2018,Uttar Pradesh,790,4,8.8
2018,Telangana,512,5,5.7
2018,Haryana,488,6,5.43
2018,Tamil Nadu,459,7,5.11
2018,Gujarat,449,8,5.0
2018,Kerala,333,9,3.71
2018,Madhya Pradesh,297,10,3.31
2018,West Bengal,276,11,3.07
2018,Rajasthan,246,12,2.74
2018,Odisha,168,13,1.87
2018,Andhra Pradesh,161,14,1.79
2018,Bihar,148,15,1.65
2018,Chhattisgarh,121,16,1.35
2018,Jharkhand,88,17,0.98
2018,Punjab,70,18,0.78
2018,Assam,68,19,0.76
2018,Uttarakhand,68,19,0.76
2018,Jammu and Kashmir,47,21,0.52
2018,Goa,44,22,0.49
2018,Chandigarh,27,23,0.3
2018,Himachal Pradesh,17,24,0.19
2018,Puducherry,16,25,0.18
2018,Manipur,7,26,0.08
2018,Tripura,4,27,0.04
2018,Andaman and Nicobar Islands,2,28,0.02
2018,Arunachal Pradesh,2,28,0.02
2018,Meghalaya,2,28,0.02
2018,Mizoram,2,28,0.02
2018,Nagaland,2,28,0.02
2018,Dadra and Nagar Haveli and Daman and Diu,1,33,0.01
2018,Ladakh,1,33,0.01
2018,Lakshadweep,0,35,0.0
2018,Sikkim,0,35,0.0
2019,Maharashtra,2229,1,18.75
2019,Karnataka,1746,2,14.69
2019,Delhi,1450,3,12.2
2019,Uttar Pradesh,905,4,7.61
2019,Haryana,730,5,6.14
2019,Kerala,669,6,5.63
2019,Gujarat,644,7,5.42
2019,Tamil Nadu,631,8,5.31
2019,Telangana,620,9,5.22
2019,Rajasthan,358,10,3.01
2019,Madhya Pradesh,335,11,2.82
2019,West Bengal,320,12,2.69
2019,Odisha,187,13,1.57
2019,Andhra Pradesh,179,14,1.51
2019,Chhattisgarh,166,15,1.4
2019,Bihar,158,16,1.33
2019,Punjab,99,17,0.83
2019,Uttarakhand,98,18,0.82
2019,Jharkhand,89,19,0.75
2019,Assam,71,20,0.6
2019,Goa,43,21,0.36
2019,Chandigarh,41,22,0.34
