state,top_industry,total,pct_of_state
Maharashtra,Healthcare & Lifesciences,1910,9.7
Uttar Pradesh,IT Services,1292,10.7
Gujarat,Healthcare & Lifesciences,1090,9.6
Karnataka,IT Services,1476,13.7
Delhi,Healthcare & Lifesciences,998,10.1
Tamil Nadu,IT Services,1121,12.9
Telangana,IT Services,1053,15.6
Haryana,IT Services,586,9.8
Rajasthan,IT Services,455,9.9
Madhya Pradesh,IT Services,421,10.1
Kerala,IT Services,584,14.0
West Bengal,IT Services,377,9.7
Bihar,Construction,592,19.5
Andhra Pradesh,IT Services,357,14.1
Odisha,IT Services,240,12.1
Punjab,IT Services,155,11.0
Chhattisgarh,Agriculture,153,11.5
Assam,Construction,206,16.7
Jharkhand,Construction,134,11.8
Uttarakhand,Healthcare & Lifesciences,109,11.1
Jammu and Kashmir,Construction,268,28.8
Himachal Pradesh,Agriculture,74,15.2
Goa,Food & Beverages,50,12.2
Chandigarh,Healthcare & Lifesciences,57,16.0
Manipur,Agriculture,26,17.0
Puducherry,IT Services,22,17.1
Tripura,Agriculture,18,15.3
Nagaland,Agriculture,23,26.4
Arunachal Pradesh,Agriculture,23,34.3
Meghalaya,Agriculture,9,14.5
Dadra and Nagar Haveli and Daman and Diu,Food & Beverages,7,13.5
Andaman and Nicobar Islands,Travel & Tourism,12,23.5
Mizoram,Agriculture,13,26.0
Ladakh,Construction,8,47.1
Sikkim,Food & Beverages,2,25.0
Lakshadweep,Construction,1,50.0
