state,IT Services,Healthcare & Lifesciences,Construction,Agriculture,Food & Beverages,Education,Professional & Commercial Services,Technology Hardware,AI,Renewable Energy,Finance Technology,Human Resources,Automotive,Textiles & Apparel,Fashion,cluster,cluster_name
Andhra Pradesh,0.14144215530903329,0.08478605388272584,0.08399366085578447,0.08795562599049128,0.0598256735340729,0.06259904912836767,0.04001584786053883,0.028526148969889066,0.04635499207606973,0.02694136291600634,0.021790808240887482,0.020998415213946117,0.020206022187004756,0.008716323296354992,0.009112519809825673,3,C3: IT Services + AI-heavy
Assam,0.06067961165048544,0.10679611650485436,0.16666666666666666,0.09627831715210355,0.06067961165048544,0.05177993527508091,0.04692556634304207,0.021035598705501618,0.019417475728155338,0.0186084142394822,0.021035598705501618,0.011326860841423949,0.015372168284789644,0.020226537216828478,0.010517799352750809,1,C1: Construction + Agriculture-heavy
Bihar,0.07428194123473093,0.07263123142951469,0.19544404093760318,0.08088478045559591,0.0732915153516012,0.06734896005282272,0.04225817101353582,0.017167381974248927,0.012215252558600198,0.022779795311984152,0.02112908550676791,0.040607461208319574,0.014526246285902938,0.015516672169032684,0.015516672169032684,1,C1: Construction + Agriculture-heavy
Chandigarh,0.07865168539325842,0.1601123595505618,0.042134831460674156,0.05056179775280899,0.028089887640449437,0.0702247191011236,0.0449438202247191,0.025280898876404494,0.047752808988764044,0.025280898876404494,0.033707865168539325,0.014044943820224719,0.025280898876404494,0.03089887640449438,0.025280898876404494,0,C0: Broad mix (close to the national average)
Chhattisgarh,0.08270676691729323,0.07593984962406015,0.09323308270676692,0.11503759398496241,0.06842105263157895,0.058646616541353384,0.05413533834586466,0.03383458646616541,0.02406015037593985,0.03984962406015038,0.027819548872180452,0.013533834586466165,0.02030075187969925,0.01804511278195489,0.010526315789473684,0,C0: Broad mix (close to the national average)
Delhi,0.09462889633465327,0.10133008427251497,0.046908315565031986,0.024774088739973603,0.057264696923545536,0.04751751446847396,0.06051375774190273,0.03381053914102954,0.028530815311199106,0.02375875723423698,0.029647679967509392,0.03919179612143365,0.02071276271702711,0.02426642298710529,0.02822621585947812,0,C0: Broad mix (close to the national average)
Goa,0.09290953545232274,0.05378973105134474,0.05378973105134474,0.019559902200488997,0.12224938875305623,0.039119804400977995,0.05378973105134474,0.022004889975550123,0.029339853300733496,0.022004889975550123,0.03178484107579462,0.009779951100244499,0.019559902200488997,0.009779951100244499,0.022004889975550123,2,C2: Food & Beverages + Finance Technology-heavy
Gujarat,0.08218335237760394,0.09580733057923882,0.0663619583369957,0.07075679001494242,0.05511118924145205,0.02619319680056254,0.06759251120682078,0.05300167003603762,0.017843016612463743,0.04834314845741408,0.024962643930737452,0.013799771468752747,0.026105300167003603,0.036213413026281095,0.0321701678825701,0,C0: Broad mix (close to the national average)
Haryana,0.09779706275033379,0.09579439252336448,0.05540720961281709,0.03988651535380507,0.05657543391188251,0.050567423230974635,0.04773030707610147,0.031208277703604806,0.03871829105473965,0.028037383177570093,0.029706275033377836,0.02403204272363151,0.030874499332443257,0.028037383177570093,0.02219626168224299,0,C0: Broad mix (close to the national average)
Himachal Pradesh,0.06147540983606557,0.11270491803278689,0.13524590163934427,0.15163934426229508,0.05122950819672131,0.0471311475409836,0.0430327868852459,0.03278688524590164,0.01639344262295082,0.028688524590163935,0.00819672131147541,0.020491803278688523,0.006147540983606557,0.00819672131147541,0.010245901639344262,1,C1: Construction + Agriculture-heavy
Jammu and Kashmir,0.07626208378088077,0.05263157894736842,0.2878625134264232,0.08055853920515575,0.05263157894736842,0.05370569280343716,0.04833512352309345,0.01288936627282492,0.008592910848549946,0.02685284640171858,0.00322234156820623,0.031149301825993556,0.01288936627282492,0.015037593984962405,0.013963480128893663,1,C1: Construction + Agriculture-heavy
