state,base_2019,count_2023,count_2025,recent_3yr_total,cagr_2019_2025_pct,cagr_2019_2023_pct,cagr_2023_2025_pct,momentum_pp,absolute_growth,share_2025_pct,eligible_for_cagr,rank_cagr,rank_absolute,rank_gap
Maharashtra,2229,5816,8067,19619,23.91,27.1,17.77,-9.32,5838,16.32,True,15.0,1.0,14.0
Uttar Pradesh,905,3435,5141,12062,33.58,39.58,22.34,-17.24,4236,10.4,True,6.0,2.0,4.0
Gujarat,644,3295,4637,11377,38.96,50.4,18.63,-31.77,3993,9.38,True,4.0,3.0,1.0
Karnataka,1746,3034,4541,10749,17.27,14.81,22.34,7.53,2795,9.19,True,19.0,4.0,15.0
Delhi,1450,3159,3837,9849,17.61,21.49,10.21,-11.28,2387,7.76,True,18.0,7.0,11.0
Tamil Nadu,631,2816,3201,8673,31.08,45.35,6.62,-38.73,2570,6.48,True,11.0,6.0,5.0
Telangana,620,1760,3192,6761,31.4,29.8,34.67,4.87,2572,6.46,True,9.0,5.0,4.0
Haryana,730,1743,2519,5992,22.93,24.31,20.22,-4.09,1789,5.1,True,16.0,8.0,8.0
Rajasthan,358,1445,1925,4616,32.36,41.74,15.42,-26.32,1567,3.89,True,7.0,9.0,2.0
Kerala,669,1296,1729,4180,17.15,17.98,15.5,-2.47,1060,3.5,True,20.0,14.0,6.0
Madhya Pradesh,335,1267,1724,4185,31.4,39.45,16.65,-22.81,1389,3.49,True,10.0,10.0,0.0
West Bengal,320,1175,1603,3885,30.81,38.43,16.8,-21.63,1283,3.24,True,12.0,11.0,1.0
Bihar,158,812,1376,3029,43.44,50.57,30.18,-20.39,1218,2.78,True,1.0,12.0,11.0
Andhra Pradesh,179,585,1333,2524,39.74,34.45,50.95,16.5,1154,2.7,True,2.0,13.0,11.0
Odisha,187,620,819,1987,27.91,34.94,14.93,-20.01,632,1.66,True,14.0,15.0,1.0
Punjab,99,443,566,1415,33.72,45.44,13.03,-32.41,467,1.15,True,5.0,16.0,11.0
Assam,71,361,528,1236,39.71,50.16,20.94,-29.22,457,1.07,True,3.0,17.0,14.0
Chhattisgarh,166,362,508,1330,20.49,21.52,18.46,-3.06,342,1.03,True,17.0,20.0,3.0
Jharkhand,89,337,467,1135,31.82,39.5,17.72,-21.78,378,0.94,True,8.0,18.0,10.0
Uttarakhand,98,271,440,981,28.44,28.95,27.42,-1.53,342,0.89,True,13.0,20.0,7.0
Jammu and Kashmir,38,246,412,931,,,,,374,0.83,False,,19.0,
Himachal Pradesh,31,144,199,488,,,,,168,0.4,False,,22.0,
Goa,43,98,186,409,,,,,143,0.38,False,,23.0,
Chandigarh,41,126,128,356,,,,,87,0.26,False,,24.0,
Manipur,6,26,72,153,,,,,66,0.15,False,,25.0,
Puducherry,11,43,59,129,,,,,48,0.12,False,,26.0,
Tripura,7,23,50,118,,,,,43,0.1,False,,27.0,
Arunachal Pradesh,2,17,37,67,,,,,35,0.07,False,,28.0,
Nagaland,2,22,30,87,,,,,28,0.06,False,,29.0,
Meghalaya,6,18,27,62,,,,,21,0.05,False,,31.0,
Dadra and Nagar Haveli and Daman and Diu,3,11,25,52,,,,,22,0.05,False,,30.0,
Mizoram,1,13,21,50,,,,,20,0.04,False,,32.0,
Andaman and Nicobar Islands,8,13,18,51,,,,,10,0.04,False,,33.0,
Ladakh,0,5,7,17,,,,,7,0.01,False,,34.0,
Sikkim,2,2,6,8,,,,,4,0.01,False,,35.0,
Lakshadweep,0,2,0,2,,,,,0,0.0,False,,36.0,
